"TOA5","CR3000","CR3000","1586","CR3000.Std.07","CPU:lab9_radiation.CR3","23301","IRR-P"
"TIMESTAMP","RECORD","SBTemp_Avg","TmV_Avg","TargTemp_Avg"
"TS","RN","degC","mV","degC"
"","","Avg","Avg","Avg"
"2020-03-13 11:23:00",0,22.33,-0.011,22
"2020-03-13 11:23:10",1,22.33,-0.011,22
"2020-03-13 11:23:20",2,22.32,-0.01,22.01
"2020-03-13 11:23:30",3,22.32,-0.01,22.01
"2020-03-13 11:23:40",4,22.32,-0.01,22
"2020-03-13 11:23:50",5,22.31,-0.009,22.01
"2020-03-13 11:24:00",6,22.31,-0.008,22.03
"2020-03-13 11:24:10",7,22.31,0.372,28.42
"2020-03-13 11:24:20",8,22.32,0.106,23.97
"2020-03-13 11:24:30",9,22.33,-0.006,22.09
"2020-03-13 11:24:40",10,22.34,-0.008,22.07
"2020-03-13 11:24:50",11,22.34,-0.009,22.05
"2020-03-13 11:25:00",12,22.34,-0.009,22.04
"2020-03-13 11:25:10",13,22.33,-0.009,22.04
"2020-03-13 11:25:20",14,22.33,-0.009,22.04
"2020-03-13 11:25:30",15,22.33,-0.008,22.04
"2020-03-13 11:25:40",16,22.32,-0.008,22.04
"2020-03-13 11:25:50",17,22.32,-0.008,22.04
"2020-03-13 11:26:00",18,22.31,-0.008,22.04
"2020-03-13 11:26:10",19,22.31,-0.007,22.05
"2020-03-13 11:26:20",20,22.31,-0.007,22.05
"2020-03-13 11:26:30",21,22.3,-0.007,22.04
"2020-03-13 11:26:40",22,22.3,0.076,23.48
"2020-03-13 11:26:50",23,22.3,0.048,23
"2020-03-13 11:27:00",24,22.32,0.061,23.24
"2020-03-13 11:27:10",25,22.36,0.134,24.52
"2020-03-13 11:27:20",26,22.42,0.078,23.63
"2020-03-13 11:27:30",27,22.47,0.094,23.92
"2020-03-13 11:27:40",28,22.53,-0.009,22.24
"2020-03-13 11:27:50",29,22.57,-0.023,22.05
"2020-03-13 11:28:00",30,22.6,-0.029,21.97
"2020-03-13 11:28:10",31,22.61,-0.031,21.95
"2020-03-13 11:28:20",32,22.62,-0.031,21.95
"2020-03-13 11:28:30",33,22.62,-0.03,21.97
"2020-03-13 11:28:40",34,22.62,-0.029,21.98
"2020-03-13 11:28:50",35,22.62,-0.029,21.98
"2020-03-13 11:29:00",36,22.62,-0.029,21.97
"2020-03-13 11:29:10",37,22.61,-0.027,22
"2020-03-13 11:29:20",38,22.61,-0.026,22.02
"2020-03-13 11:29:30",39,22.6,-0.026,22.01
"2020-03-13 11:29:40",40,22.6,-0.025,22.03
"2020-03-13 11:29:50",41,22.59,-0.023,22.06
"2020-03-13 11:30:00",42,22.59,-0.023,22.05
"2020-03-13 11:30:10",43,22.59,-0.026,22.01
"2020-03-13 11:30:20",44,22.58,-0.024,22.03
"2020-03-13 11:30:30",45,22.58,-0.024,22.03
"2020-03-13 11:30:40",46,22.57,-0.025,22
"2020-03-13 11:30:50",47,22.57,-0.023,22.03
"2020-03-13 11:31:00",48,22.56,-0.022,22.04
"2020-03-13 11:31:10",49,22.56,-0.021,22.06
