,date,temp,min,max,temp_c,diff
0,20160601,65.5,73.6,54.7,18.6,-18.89999999999999
1,20160602,65.8,80.8,55.0,18.8,-25.799999999999997
2,20160603,68.4,80.8,55.6,20.2,-25.199999999999996
3,20160604,57.5,70.9,47.3,14.2,-23.60000000000001
4,20160605,51.4,58.3,43.2,10.8,-15.099999999999994
5,20160606,52.2,59.7,42.8,11.2,-16.900000000000006
6,20160607,56.9,65.1,45.9,13.8,-19.199999999999996
7,20160608,54.2,65.1,47.5,12.3,-17.599999999999994
8,20160609,49.4,54.1,45.7,9.7,-8.399999999999999
9,20160610,49.5,55.9,43.0,9.7,-12.899999999999999
10,20160611,54.0,62.1,41.7,12.2,-20.4
11,20160612,55.4,64.2,46.0,13.0,-18.200000000000003
12,20160613,58.3,68.2,47.3,14.6,-20.900000000000006
13,20160614,59.7,67.8,47.8,15.4,-20.0
14,20160615,63.4,70.3,49.3,17.4,-21.0
15,20160616,57.8,67.5,55.6,14.3,-11.899999999999999
16,20160617,60.4,70.7,55.9,15.8,-14.800000000000004
17,20160618,57.3,70.7,54.0,14.1,-16.700000000000003
18,20160619,56.3,59.2,54.1,13.5,-5.100000000000001
19,20160620,59.3,69.1,52.2,15.2,-16.89999999999999
20,20160621,62.6,71.4,50.4,17.0,-21.000000000000007
21,20160622,61.7,70.2,55.4,16.5,-14.800000000000004
22,20160623,60.9,67.1,54.9,16.1,-12.199999999999996
23,20160624,61.1,68.9,56.7,16.2,-12.200000000000003
24,20160625,65.7,75.4,57.9,18.7,-17.500000000000007
25,20160626,69.6,77.7,60.3,20.9,-17.400000000000006
26,20160627,60.7,70.0,60.3,15.9,-9.700000000000003
27,20160628,65.4,73.0,55.8,18.6,-17.200000000000003
28,20160629,65.8,73.2,55.8,18.8,-17.400000000000006
29,20160630,65.7,72.7,59.2,18.7,-13.5
